static_val,250,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
time,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25
dis_static,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
time,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25
dynamic_val,23,21,30,30,20,21,21,23,23,23,22,23,21,20,21,22,20,22,22,23,23,23,22,22,22,22,23,23,23,23,24,21,23,23,22,22,22,22,22,22,22,20,23,21,25,25,22,21,27,19,25,27,22,27,27,25,26,18,24,27,19,24,27,18,26,17,19,26,18,25,24,16,25,28,19,26,27,19,22,26,26,19,22,22,23,23,22,22,21,22,20,24,21,24,20,23,21,21,22,24,21,22,23,22,20,23,21,22,20,22,23,20,21,24,24,20,24,26,26,20,24,25,18,27,21,24,25,25,19,26,20,22,22,26,24,24,24,20,24,27,20,23,25,18,24,25,25,18,22,19,25,19,23,26,18,19,25,23,25,26,23,25,18,25,25,25,18,25,20,23,27,19,25,25,24
time,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25
dis_move,8,8,8,8,7,7,7,7,8,7,8,8,8,7,8,7,8,7,7,7,7,8,7,8,8,8,8,8,8,8,7,8,7,7,7,8,8,8,8,8,8,7,7,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,7,8,8,7,8,8,7,8,8,8,8,8,7,8,8,8,7,7,7,7,7,7,7,8,7,8,7,7,7,8,7,8,8,8,8,8,7,8,8,8,8,8,7,8,8,7,8,8,8,8,7,8,8,8,8,8,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,7,7,8,8,8,8,8,8,7,8,8,8,7,8,7,8,8,7,8,8,8
time,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25
speed,4,4,4,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,5,4,4,4
time,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25,07/28 22:25
